Lat,Lon,Time Range,mmsi,Apparent Fishing Hours
-8.3,107.12,2024-02-17 08:00,0.0,16.6
-8.1,107.22,2024-02-25 14:00,0.0,9.19
-8.26,107.97,2024-02-21 03:00,0.0,0.5
-8.38,107.2,2024-02-16 00:00,0.0,0.99
-8.53,106.9,2024-02-16 04:00,0.0,3.74
-8.27,107.97,2024-02-24 06:00,0.0,1.25
-8.39,108.18,2024-02-21 10:00,0.0,4.45
-8.27,107.67,2024-02-28 18:00,0.0,2.21
-8.21,107.63,2024-02-20 22:00,0.0,0.91
-8.06,107.03,2024-02-17 15:00,0.0,1.09
-8.26,107.82,2024-02-24 08:00,0.0,2.01
-8.28,108.03,2024-02-23 16:00,0.0,11.32
-8.28,108.16,2024-02-22 10:00,0.0,4.21
-8.22,107.64,2024-02-20 23:00,0.0,0.15
-8.37,107.91,2024-02-26 15:00,0.0,17.14
-8.28,107.92,2024-02-20 06:00,0.0,3.12
-8.27,108.17,2024-02-22 12:00,0.0,1.05
-8.3,108.06,2024-02-22 05:00,0.0,7.22
-8.26,107.97,2024-02-23 05:00,0.0,7.46
-8.09,107.32,2024-02-25 16:00,0.0,2.05
-8.22,107.89,2024-02-24 05:00,0.0,12.23
-8.04,107.92,2024-02-20 03:00,0.0,6.81
-8.39,108.04,2024-02-21 14:00,0.0,4.74
-7.92,107.25,2024-02-19 14:00,0.0,19.97
-8.49,106.53,2024-02-16 15:00,0.0,10.82
-8.19,107.67,2024-02-22 21:00,0.0,0.87
-8.26,107.84,2024-02-28 15:00,0.0,0.87
-8.27,108.16,2024-02-22 11:00,0.0,1.03
-8.07,107.64,2024-02-19 21:00,0.0,3.12
-8.17,107.1,2024-02-18 07:00,0.0,16.42
-8.29,107.64,2024-02-21 22:00,0.0,1.77
-8.34,107.98,2024-02-28 12:00,0.0,11.11
-8.26,107.62,2024-02-27 02:00,0.0,5.1
-8.21,107.61,2024-02-22 22:00,0.0,0.98
-8.4,108.1,2024-02-21 05:00,0.0,2.22
-8.31,107.95,2024-02-28 13:00,0.0,1.01
-8.28,107.86,2024-02-24 15:00,0.0,1.08
-8.17,107.74,2024-02-22 20:00,0.0,1.31
-8.18,107.68,2024-02-18 18:00,0.0,10.35
-8.14,107.03,2024-02-17 14:00,0.0,6.03
-8.27,107.91,2024-02-20 12:00,0.0,5.84
-8.27,107.91,2024-02-28 14:00,0.0,1.02
-12.36,122.01,2024-02-25 21:00,0.0,3.29
-12.38,122.01,2024-02-25 15:00,0.0,1.55
-12.37,121.99,2024-02-25 08:00,0.0,2.85
-12.37,122.01,2024-02-25 18:00,0.0,2.3
-12.37,121.99,2024-02-25 09:00,0.0,0.65
-12.55,121.96,2024-02-26 04:00,0.0,1.63
-12.16,121.86,2024-02-24 21:00,0.0,0.78
-12.37,122.0,2024-02-25 06:00,0.0,4.91
-12.26,121.92,2024-02-24 23:00,0.0,1.41
-12.37,122.0,2024-02-25 11:00,0.0,2.1
-12.55,122.02,2024-02-26 03:00,0.0,1.13
-12.33,121.96,2024-02-25 00:00,0.0,0.97
-12.47,122.02,2024-02-26 01:00,0.0,4.48
-12.17,121.87,2024-02-24 22:00,0.0,0.26
-12.36,121.99,2024-02-25 01:00,0.0,0.68
-12.37,122.0,2024-02-25 14:00,0.0,2.55
-9.87,137.63,2024-02-28 09:00,0.0,1.16
-9.86,137.63,2024-02-28 08:00,0.0,0.58
-9.85,137.51,2024-02-28 23:00,0.0,0.8
-9.84,137.49,2024-02-29 00:00,0.0,0.86
-9.85,137.56,2024-02-28 06:00,0.0,3.05
-9.88,137.62,2024-02-28 12:00,0.0,3.3
-9.86,137.59,2024-02-28 07:00,0.0,1.52
-9.85,137.52,2024-02-28 22:00,0.0,10.24
-0.1,103.87,2024-02-18 05:00,525018448.0,0.0
-0.24,103.87,2024-02-18 08:00,525018448.0,0.77
-0.12,103.87,2024-02-18 06:00,525018448.0,1.13
-0.17,103.87,2024-02-18 07:00,525018448.0,1.02
-1.08,104.69,2024-02-24 17:00,525018448.0,0.26
-3.9,115.91,2024-02-24 00:00,0.0,0.9
-3.92,115.91,2024-02-21 03:00,0.0,0.82
-3.83,115.77,2024-02-27 23:00,0.0,0.92
-3.94,115.89,2024-02-24 14:00,0.0,0.95
-3.94,115.89,2024-02-25 16:00,0.0,0.55
-4.08,115.82,2024-02-22 23:00,0.0,0.86
-4.12,115.91,2024-02-18 05:00,0.0,0.51
-4.04,115.91,2024-02-20 19:00,0.0,0.9
-3.87,115.77,2024-02-28 11:00,0.0,0.65
-4.04,115.91,2024-02-21 20:00,0.0,0.65
-3.86,115.9,2024-02-24 01:00,0.0,1.1
-3.87,115.77,2024-02-27 08:00,0.0,0.6
-3.95,115.91,2024-02-23 07:00,0.0,1.16
-3.93,115.78,2024-02-26 18:00,0.0,0.9
-3.94,115.89,2024-02-24 17:00,0.0,1.2
-4.14,115.9,2024-02-19 21:00,0.0,1.05
-3.95,115.91,2024-02-23 14:00,0.0,0.65
-3.93,115.88,2024-02-25 23:00,0.0,1.2
-3.92,115.91,2024-02-22 03:00,0.0,0.87
-4.13,115.9,2024-02-19 02:00,0.0,1.16
-3.87,115.77,2024-02-28 09:00,0.0,0.9
-4.04,115.91,2024-02-20 12:00,0.0,0.95
-4.04,115.9,2024-02-20 02:00,0.0,0.9
-3.97,115.91,2024-02-21 01:00,0.0,0.85
-3.87,115.77,2024-02-27 12:00,0.0,1.0
-3.94,115.9,2024-02-23 22:00,0.0,1.16
-3.92,115.91,2024-02-22 04:00,0.0,0.95
-4.14,115.9,2024-02-19 12:00,0.0,1.1
-3.93,115.78,2024-02-26 19:00,0.0,1.2
-3.95,115.91,2024-02-23 21:00,0.0,0.9
-4.04,115.91,2024-02-20 17:00,0.0,0.9
-3.89,115.78,2024-02-26 23:00,0.0,0.86
-3.94,115.89,2024-02-24 22:00,0.0,0.9
-4.2,115.91,2024-02-18 13:00,0.0,0.8
-4.11,115.83,2024-02-22 17:00,0.0,0.9
-4.11,115.83,2024-02-22 13:00,0.0,1.2
-3.87,115.77,2024-02-27 07:00,0.0,0.9
-4.34,116.08,2024-02-17 10:00,0.0,0.65
-3.95,115.91,2024-02-23 20:00,0.0,0.9
-4.04,115.91,2024-02-21 12:00,0.0,0.6
-3.98,115.91,2024-02-21 00:00,0.0,1.2
-3.93,115.78,2024-02-26 20:00,0.0,0.9
-4.04,115.91,2024-02-20 10:00,0.0,0.3
-4.11,115.9,2024-02-19 23:00,0.0,1.05
-4.11,115.83,2024-02-22 11:00,0.0,0.6
-4.04,115.91,2024-02-20 15:00,0.0,1.2
-4.2,115.91,2024-02-18 14:00,0.0,1.2
-3.84,115.88,2024-02-26 03:00,0.0,0.6
-3.95,115.91,2024-02-23 10:00,0.0,0.9
-3.83,115.89,2024-02-25 02:00,0.0,1.06
